Class,Order,Family,Genus,Species,1,2,3,4,5,6,7,8,9,10,category_at_start,num_assessments,category_at_end,numeric_category_at_start,numeric_category_at_end,Delta_Status,is_geniune,to_check
ACTINOPTERYGII,PERCIFORMES,LABRISOMIDAE,Starksia,Starksia williamsi,EN,LC,NA,NA,NA,NA,NA,NA,NA,NA,EN,2,LC,3,0,3,non-genuine,No
MAMMALIA,EULIPOTYPHLA,SORICIDAE,Sylvisorex,Sylvisorex howelli,EN,LC,NA,NA,NA,NA,NA,NA,NA,NA,EN,2,LC,3,0,3,non-genuine,No
AVES,PROCELLARIIFORMES,DIOMEDEIDAE,Thalassarche,Thalassarche melanophris,EN,EN,EN,NT,NT,LC,LC,NA,NA,NA,EN,7,LC,3,0,3,non-genuine,check all changes
MAMMALIA,CARNIVORA,CANIDAE,Urocyon,Urocyon littoralis,CR,NT,NA,NA,NA,NA,NA,NA,NA,NA,CR,2,NT,4,1,3,genuine,No
REPTILIA,SQUAMATA,SCINCIDAE,Acontias,Acontias rieppeli,EN,NT,NA,NA,NA,NA,NA,NA,NA,NA,EN,2,NT,3,1,2,non-genuine,No
AVES,PASSERIFORMES,ACROCEPHALIDAE,Acrocephalus,Acrocephalus rodericanus,EN,EN,NT,NT,NA,NA,NA,NA,NA,NA,EN,4,NT,3,1,2,genuine,check all changes
AMPHIBIA,ANURA,ALSODIDAE,Alsodes,Alsodes montanus,CR,VU,NA,NA,NA,NA,NA,NA,NA,NA,CR,2,VU,4,2,2,genuine,No
AMPHIBIA,ANURA,ALSODIDAE,Alsodes,Alsodes tumultuosus,CR,VU,NA,NA,NA,NA,NA,NA,NA,NA,CR,2,VU,4,2,2,genuine,No
REPTILIA,SQUAMATA,GYMNOPHTHALMIDAE,Anadia,Anadia marmorata,VU,LC,NA,NA,NA,NA,NA,NA,NA,NA,VU,2,LC,2,0,2,non-genuine,No
AVES,ANSERIFORMES,ANATIDAE,Anas,Anas chlorotis,EN,EN,NT,NT,NA,NA,NA,NA,NA,NA,EN,4,NT,3,1,2,genuine,check all changes
AMPHIBIA,ANURA,DENDROBATIDAE,Andinobates,Andinobates dorisswansonae,CR,VU,NA,NA,NA,NA,NA,NA,NA,NA,CR,2,VU,4,2,2,genuine,No
AMPHIBIA,CAUDATA,PLETHODONTIDAE,Aquiloeurycea,Aquiloeurycea scandens,VU,LC,NA,NA,NA,NA,NA,NA,NA,NA,VU,2,LC,2,0,2,non-genuine,No
AVES,GALLIFORMES,PHASIANIDAE,Arborophila,Arborophila cambodiana,VU,LC,LC,LC,NA,NA,NA,NA,NA,NA,VU,4,LC,2,0,2,non-genuine,check all changes
AVES,GALLIFORMES,PHASIANIDAE,Arborophila,Arborophila davidi,EN,NT,NT,NT,NA,NA,NA,NA,NA,NA,EN,4,NT,3,1,2,non-genuine,check all changes
AMPHIBIA,ANURA,ARTHROLEPTIDAE,Arthroleptis,Arthroleptis krokosua,EN,NT,NA,NA,NA,NA,NA,NA,NA,NA,EN,2,NT,3,1,2,non-genuine,No
AMPHIBIA,CAUDATA,PLETHODONTIDAE,Bolitoglossa,Bolitoglossa odonnelli,EN,NT,NA,NA,NA,NA,NA,NA,NA,NA,EN,2,NT,3,1,2,non-genuine,No
AMPHIBIA,ANURA,BREVICIPITIDAE,Breviceps,Breviceps sylvestris,EN,NT,NA,NA,NA,NA,NA,NA,NA,NA,EN,2,NT,3,1,2,non-genuine,No
REPTILIA,SQUAMATA,AGAMIDAE,Bronchocela,Bronchocela smaragdina,VU,LC,NA,NA,NA,NA,NA,NA,NA,NA,VU,2,LC,2,0,2,non-genuine,No
MAMMALIA,PRIMATES,CALLITRICHIDAE,Callibella,Callibella humilis,VU,LC,NA,NA,NA,NA,NA,NA,NA,NA,VU,2,LC,2,0,2,non-genuine,No
MAMMALIA,RODENTIA,CRICETIDAE,Calomys,Calomys hummelincki,VU,LC,LC,NA,NA,NA,NA,NA,NA,NA,VU,3,LC,2,0,2,genuine,check all changes
MAMMALIA,CETARTIODACTYLA,BOVIDAE,Capra,Capra falconeri,EN,NT,NA,NA,NA,NA,NA,NA,NA,NA,EN,2,NT,3,1,2,genuine,No
AVES,STRUTHIONIFORMES,CASUARIIDAE,Casuarius,Casuarius casuarius,VU,VU,VU,LC,LC,NA,NA,NA,NA,NA,VU,5,LC,2,0,2,non-genuine,check all changes
AVES,STRUTHIONIFORMES,CASUARIIDAE,Casuarius,Casuarius unappendiculatus,VU,VU,VU,LC,NA,NA,NA,NA,NA,NA,VU,4,LC,2,0,2,non-genuine,check all changes
REPTILIA,SQUAMATA,ANGUIDAE,Celestus,Celestus curtissi,VU,LC,NA,NA,NA,NA,NA,NA,NA,NA,VU,2,LC,2,0,2,non-genuine,No
AVES,PICIFORMES,PICIDAE,Celeus,Celeus obrieni,CR,CR,CR,EN,EN,EN,VU,NA,NA,NA,CR,7,VU,4,2,2,non-genuine,check all changes
MAMMALIA,CETARTIODACTYLA,BOVIDAE,Cephalophus,Cephalophus adersi,CR,VU,NA,NA,NA,NA,NA,NA,NA,NA,CR,2,VU,4,2,2,genuine,No
AVES,CHARADRIIFORMES,CHARADRIIDAE,Charadrius,Charadrius sanctaehelenae,CR,CR,CR,CR,CR,VU,NA,NA,NA,NA,CR,6,VU,4,2,2,genuine,check all changes
AMPHIBIA,ANURA,CENTROLENIDAE,Chimerella,Chimerella mariaelenae,VU,LC,NA,NA,NA,NA,NA,NA,NA,NA,VU,2,LC,2,0,2,non-genuine,No
AVES,PASSERIFORMES,ESTRILDIDAE,Chloebia,Chloebia gouldiae,EN,NT,NT,NT,NA,NA,NA,NA,NA,NA,EN,4,NT,3,1,2,non-genuine,check all changes
AMPHIBIA,ANURA,DENDROBATIDAE,Colostethus,Colostethus ruthveni,EN,NT,NA,NA,NA,NA,NA,NA,NA,NA,EN,2,NT,3,1,2,non-genuine,No
AVES,COLUMBIFORMES,COLUMBIDAE,Columba,Columba junoniae,EN,NT,NT,NT,NT,NA,NA,NA,NA,NA,EN,5,NT,3,1,2,genuine,check all changes
REPTILIA,SQUAMATA,TEIIDAE,Contomastix,Contomastix vittata,CR,VU,NA,NA,NA,NA,NA,NA,NA,NA,CR,2,VU,4,2,2,non-genuine,No
MAMMALIA,EULIPOTYPHLA,SORICIDAE,Crocidura,Crocidura baluensis,VU,LC,NA,NA,NA,NA,NA,NA,NA,NA,VU,2,LC,2,0,2,non-genuine,No
MAMMALIA,EULIPOTYPHLA,SORICIDAE,Crocidura,Crocidura fumosa,VU,LC,NA,NA,NA,NA,NA,NA,NA,NA,VU,2,LC,2,0,2,non-genuine,No
MAMMALIA,EULIPOTYPHLA,SORICIDAE,Crocidura,Crocidura orientalis,VU,LC,NA,NA,NA,NA,NA,NA,NA,NA,VU,2,LC,2,0,2,non-genuine,No
MAMMALIA,EULIPOTYPHLA,SORICIDAE,Cryptotis,Cryptotis obscura,VU,LC,NA,NA,NA,NA,NA,NA,NA,NA,VU,2,LC,2,0,2,non-genuine,No
REPTILIA,SQUAMATA,PYGOPODIDAE,Delma,Delma labialis,VU,LC,NA,NA,NA,NA,NA,NA,NA,NA,VU,2,LC,2,0,2,non-genuine,No
REPTILIA,SQUAMATA,PYGOPODIDAE,Delma,Delma torquata,VU,LC,NA,NA,NA,NA,NA,NA,NA,NA,VU,2,LC,2,0,2,non-genuine,No
MAMMALIA,RODENTIA,NESOMYIDAE,Dendromus,Dendromus oreas,VU,LC,NA,NA,NA,NA,NA,NA,NA,NA,VU,2,LC,2,0,2,non-genuine,No
MAMMALIA,RODENTIA,DINOMYIDAE,Dinomys,Dinomys branickii,VU,LC,NA,NA,NA,NA,NA,NA,NA,NA,VU,2,LC,2,0,2,genuine,No
AVES,COLUMBIFORMES,COLUMBIDAE,Ducula,Ducula cineracea,EN,EN,NT,NT,NA,NA,NA,NA,NA,NA,EN,4,NT,3,1,2,non-genuine,check all changes
REPTILIA,SQUAMATA,SCINCIDAE,Emoia,Emoia isolata,VU,LC,NA,NA,NA,NA,NA,NA,NA,NA,VU,2,LC,2,0,2,non-genuine,No
AVES,PASSERIFORMES,PARADISAEIDAE,Epimachus,Epimachus fastosus,VU,VU,VU,LC,NA,NA,NA,NA,NA,NA,VU,4,LC,2,0,2,non-genuine,check all changes
ACTINOPTERYGII,PERCIFORMES,EPINEPHELIDAE,Epinephelus,Epinephelus coioides,VU,LC,NA,NA,NA,NA,NA,NA,NA,NA,VU,2,LC,2,0,2,non-genuine,No
ACTINOPTERYGII,PERCIFORMES,EPINEPHELIDAE,Epinephelus,Epinephelus gabriellae,VU,LC,NA,NA,NA,NA,NA,NA,NA,NA,VU,2,LC,2,0,2,non-genuine,No
ACTINOPTERYGII,PERCIFORMES,EPINEPHELIDAE,Epinephelus,Epinephelus itajara,CR,EN,VU,NA,NA,NA,NA,NA,NA,NA,CR,3,VU,4,2,2,non-genuine,check all changes
MAMMALIA,PERISSODACTYLA,EQUIDAE,Equus,Equus hemionus,EN,NT,NA,NA,NA,NA,NA,NA,NA,NA,EN,2,NT,3,1,2,genuine,No
REPTILIA,SQUAMATA,DIPSADIDAE,Erythrolamprus,Erythrolamprus williamsi,EN,NT,NA,NA,NA,NA,NA,NA,NA,NA,EN,2,NT,3,1,2,non-genuine,No
MAMMALIA,CARNIVORA,OTARIIDAE,Eumetopias,Eumetopias jubatus,EN,NT,NT,NA,NA,NA,NA,NA,NA,NA,EN,3,NT,3,1,2,genuine,check all changes
MAMMALIA,CHIROPTERA,MOLOSSIDAE,Eumops,Eumops floridanus,CR,VU,NA,NA,NA,NA,NA,NA,NA,NA,CR,2,VU,4,2,2,non-genuine,No
AVES,FALCONIFORMES,FALCONIDAE,Falco,Falco naumanni,VU,LC,LC,LC,LC,LC,LC,NA,NA,NA,VU,7,LC,2,0,2,non-genuine,check all changes
MAMMALIA,CETARTIODACTYLA,BOVIDAE,Gazella,Gazella subgutturosa,CR,VU,NA,NA,NA,NA,NA,NA,NA,NA,CR,2,VU,4,2,2,genuine,No
REPTILIA,SQUAMATA,SCINCIDAE,Geomyersia,Geomyersia coggeri,VU,LC,NA,NA,NA,NA,NA,NA,NA,NA,VU,2,LC,2,0,2,non-genuine,No
AVES,PASSERIFORMES,PARULIDAE,Geothlypis,Geothlypis beldingi,CR,CR,CR,EN,EN,EN,VU,NA,NA,NA,CR,7,VU,4,2,2,non-genuine,check all changes
REPTILIA,SQUAMATA,GYMNOPHTHALMIDAE,Gymnophthalmus,Gymnophthalmus pleii,EN,NT,NA,NA,NA,NA,NA,NA,NA,NA,EN,2,NT,3,1,2,non-genuine,No
AVES,PASSERIFORMES,TYRANNIDAE,Hemitriccus,Hemitriccus kaempferi,CR,EN,EN,EN,VU,NA,NA,NA,NA,NA,CR,5,VU,4,2,2,non-genuine,check all changes
AVES,PASSERIFORMES,TROGLODYTIDAE,Henicorhina,Henicorhina negreti,CR,CR,CR,CR,CR,CR,VU,NA,NA,NA,CR,7,VU,4,2,2,non-genuine,check all changes
MAMMALIA,CARNIVORA,HERPESTIDAE,Herpestes,Herpestes fuscus,VU,LC,NA,NA,NA,NA,NA,NA,NA,NA,VU,2,LC,2,0,2,non-genuine,No
REPTILIA,SQUAMATA,GEKKONIDAE,Homopholis,Homopholis mulleri,VU,LC,NA,NA,NA,NA,NA,NA,NA,NA,VU,2,LC,2,0,2,genuine,No
AMPHIBIA,ANURA,HYLIDAE,Hyloscirtus,Hyloscirtus lindae,VU,LC,NA,NA,NA,NA,NA,NA,NA,NA,VU,2,LC,2,0,2,non-genuine,No
AVES,PASSERIFORMES,ICTERIDAE,Icterus,Icterus oberi,CR,CR,CR,CR,CR,CR,VU,NA,NA,NA,CR,7,VU,4,2,2,genuine,check all changes
AVES,PASSERIFORMES,THRAUPIDAE,Incaspiza,Incaspiza ortizi,VU,VU,VU,LC,NA,NA,NA,NA,NA,NA,VU,4,LC,2,0,2,non-genuine,check all changes
AMPHIBIA,ANURA,MICROHYLIDAE,Kaloula,Kaloula kalingensis,VU,LC,NA,NA,NA,NA,NA,NA,NA,NA,VU,2,LC,2,0,2,non-genuine,No
AMPHIBIA,ANURA,LEIOPELMATIDAE,Leiopelma,Leiopelma hochstetteri,VU,LC,NA,NA,NA,NA,NA,NA,NA,NA,VU,2,LC,2,0,2,non-genuine,No
REPTILIA,SQUAMATA,XANTUSIIDAE,Lepidophyma,Lepidophyma reticulatum,VU,LC,NA,NA,NA,NA,NA,NA,NA,NA,VU,2,LC,2,0,2,non-genuine,No
AMPHIBIA,ANURA,RANIDAE,Lithobates,Lithobates vibicarius,CR,VU,NA,NA,NA,NA,NA,NA,NA,NA,CR,2,VU,4,2,2,genuine,No
MAMMALIA,RODENTIA,MURIDAE,Lophuromys,Lophuromys rahmi,EN,NT,NA,NA,NA,NA,NA,NA,NA,NA,EN,2,NT,3,1,2,non-genuine,No
AVES,PSITTACIFORMES,PSITTACIDAE,Loriculus,Loriculus catamene,EN,NT,NT,NT,NA,NA,NA,NA,NA,NA,EN,4,NT,3,1,2,non-genuine,check all changes
MAMMALIA,RODENTIA,MURIDAE,Mastomys,Mastomys awashensis,VU,LC,NA,NA,NA,NA,NA,NA,NA,NA,VU,2,LC,2,0,2,non-genuine,No
AVES,PASSERIFORMES,THRAUPIDAE,Microspingus,Microspingus cinereus,VU,VU,VU,VU,LC,NA,NA,NA,NA,NA,VU,5,LC,2,0,2,non-genuine,check all changes
ACTINOPTERYGII,TETRAODONTIFORMES,MOLIDAE,Mola,Mola mola,VU,DD,LC,NA,NA,NA,NA,NA,NA,NA,VU,3,LC,2,0,2,non-genuine,check all changes
MAMMALIA,RODENTIA,MURIDAE,Mus,Mus vulcani,VU,LC,NA,NA,NA,NA,NA,NA,NA,NA,VU,2,LC,2,0,2,non-genuine,No
ACTINOPTERYGII,PERCIFORMES,EPINEPHELIDAE,Mycteroperca,Mycteroperca rosacea,VU,LC,NA,NA,NA,NA,NA,NA,NA,NA,VU,2,LC,2,0,2,non-genuine,No
ACTINOPTERYGII,PERCIFORMES,EPINEPHELIDAE,Mycteroperca,Mycteroperca venenosa,EN,NT,NA,NA,NA,NA,NA,NA,NA,NA,EN,2,NT,3,1,2,non-genuine,No
MAMMALIA,CHIROPTERA,PTEROPODIDAE,Myonycteris,Myonycteris relicta,VU,LC,NA,NA,NA,NA,NA,NA,NA,NA,VU,2,LC,2,0,2,non-genuine,No
MAMMALIA,EULIPOTYPHLA,SORICIDAE,Myosorex,Myosorex zinki,VU,LC,NA,NA,NA,NA,NA,NA,NA,NA,VU,2,LC,2,0,2,non-genuine,No
MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Myotis,Myotis sodalis,EN,NT,NA,NA,NA,NA,NA,NA,NA,NA,EN,2,NT,3,1,2,non-genuine,No
MAMMALIA,CHIROPTERA,NATALIDAE,Natalus,Natalus primus,CR,VU,NA,NA,NA,NA,NA,NA,NA,NA,CR,2,VU,4,2,2,non-genuine,No
AMPHIBIA,CAUDATA,SALAMANDRIDAE,Neurergus,Neurergus kaiseri,CR,VU,NA,NA,NA,NA,NA,NA,NA,NA,CR,2,VU,4,2,2,non-genuine,No
MAMMALIA,RODENTIA,MURIDAE,Niviventer,Niviventer cremoriventer,VU,LC,NA,NA,NA,NA,NA,NA,NA,NA,VU,2,LC,2,0,2,genuine,No
AMPHIBIA,ANURA,CENTROLENIDAE,Nymphargus,Nymphargus posadae,VU,LC,NA,NA,NA,NA,NA,NA,NA,NA,VU,2,LC,2,0,2,non-genuine,No
AVES,PASSERIFORMES,PASSERELLIDAE,Oreothraupis,Oreothraupis arremonops,VU,VU,VU,LC,NA,NA,NA,NA,NA,NA,VU,4,LC,2,0,2,non-genuine,check all changes
MAMMALIA,CARNIVORA,FELIDAE,Panthera,Panthera pardus,CR,VU,NA,NA,NA,NA,NA,NA,NA,NA,CR,2,VU,4,2,2,genuine,No
MAMMALIA,CETARTIODACTYLA,BOVIDAE,Pantholops,Pantholops hodgsonii,EN,NT,NA,NA,NA,NA,NA,NA,NA,NA,EN,2,NT,3,1,2,genuine,No
MAMMALIA,CARNIVORA,VIVERRIDAE,Paradoxurus,Paradoxurus zeylonensis,VU,LC,NA,NA,NA,NA,NA,NA,NA,NA,VU,2,LC,2,0,2,genuine,No
AVES,PROCELLARIIFORMES,DIOMEDEIDAE,Phoebastria,Phoebastria nigripes,EN,EN,VU,NT,NT,NT,NA,NA,NA,NA,EN,6,NT,3,1,2,genuine,check all changes
REPTILIA,SQUAMATA,TEIIDAE,Pholidoscelis,Pholidoscelis maynardii,VU,LC,NA,NA,NA,NA,NA,NA,NA,NA,VU,2,LC,2,0,2,non-genuine,No
AVES,PICIFORMES,PICIDAE,Picumnus,Picumnus limae,VU,LC,LC,LC,LC,NA,NA,NA,NA,NA,VU,5,LC,2,0,2,non-genuine,check all changes
MAMMALIA,PRIMATES,PITHECIIDAE,Pithecia,Pithecia albicans,VU,LC,NA,NA,NA,NA,NA,NA,NA,NA,VU,2,LC,2,0,2,non-genuine,No
AMPHIBIA,ANURA,CERATOBATRACHIDAE,Platymantis,Platymantis cornutus,VU,LC,NA,NA,NA,NA,NA,NA,NA,NA,VU,2,LC,2,0,2,non-genuine,No
REPTILIA,SQUAMATA,CORDYLIDAE,Platysaurus,Platysaurus monotropis,EN,NT,NA,NA,NA,NA,NA,NA,NA,NA,EN,2,NT,3,1,2,non-genuine,No
ACTINOPTERYGII,PERCIFORMES,EPINEPHELIDAE,Plectropomus,Plectropomus laevis,VU,LC,NA,NA,NA,NA,NA,NA,NA,NA,VU,2,LC,2,0,2,non-genuine,No
AVES,PSITTACIFORMES,PSITTACIDAE,Polytelis,Polytelis swainsonii,VU,LC,LC,LC,NA,NA,NA,NA,NA,NA,VU,4,LC,2,0,2,non-genuine,check all changes
AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis frater,VU,LC,NA,NA,NA,NA,NA,NA,NA,NA,VU,2,LC,2,0,2,non-genuine,No
MAMMALIA,RODENTIA,ECHIMYIDAE,Proechimys,Proechimys goeldii,VU,LC,LC,NA,NA,NA,NA,NA,NA,NA,VU,3,LC,2,0,2,non-genuine,check all changes
MAMMALIA,RODENTIA,ECHIMYIDAE,Proechimys,Proechimys roberti,VU,LC,LC,NA,NA,NA,NA,NA,NA,NA,VU,3,LC,2,0,2,non-genuine,check all changes
MAMMALIA,RODENTIA,CRICETIDAE,Prometheomys,Prometheomys schaposchnikowi,VU,LC,NA,NA,NA,NA,NA,NA,NA,NA,VU,2,LC,2,0,2,non-genuine,No
REPTILIA,SQUAMATA,PSAMMOPHIIDAE,Psammophis,Psammophis leightoni,VU,LC,NA,NA,NA,NA,NA,NA,NA,NA,VU,2,LC,2,0,2,non-genuine,No
MAMMALIA,DASYUROMORPHIA,DASYURIDAE,Pseudantechinus,Pseudantechinus mimulus,EN,NT,NA,NA,NA,NA,NA,NA,NA,NA,EN,2,NT,3,1,2,non-genuine,No
AMPHIBIA,CAUDATA,PLETHODONTIDAE,Pseudoeurycea,Pseudoeurycea leprosa,VU,LC,NA,NA,NA,NA,NA,NA,NA,NA,VU,2,LC,2,0,2,non-genuine,No
AVES,PSITTACIFORMES,PSITTACIDAE,Psittaculirostris,Psittaculirostris salvadorii,VU,VU,LC,LC,NA,NA,NA,NA,NA,NA,VU,4,LC,2,0,2,non-genuine,check all changes
AMPHIBIA,ANURA,CRAUGASTORIDAE,Psychrophrynella,Psychrophrynella iatamasi,VU,LC,NA,NA,NA,NA,NA,NA,NA,NA,VU,2,LC,2,0,2,non-genuine,No
AMPHIBIA,ANURA,CRAUGASTORIDAE,Psychrophrynella,Psychrophrynella katantika,VU,LC,NA,NA,NA,NA,NA,NA,NA,NA,VU,2,LC,2,0,2,non-genuine,No
AVES,PROCELLARIIFORMES,PROCELLARIIDAE,Pterodroma,Pterodroma axillaris,CR,EN,EN,EN,EN,VU,VU,VU,NA,NA,CR,8,VU,4,2,2,genuine,check all changes
MAMMALIA,CHIROPTERA,PTEROPODIDAE,Pteropus,Pteropus capistratus,EN,NT,NA,NA,NA,NA,NA,NA,NA,NA,EN,2,NT,3,1,2,genuine,No
MAMMALIA,CHIROPTERA,PTEROPODIDAE,Pteropus,Pteropus mahaganus,VU,LC,NA,NA,NA,NA,NA,NA,NA,NA,VU,2,LC,2,0,2,non-genuine,No
MAMMALIA,CHIROPTERA,PTEROPODIDAE,Pteropus,Pteropus woodfordi,VU,LC,NA,NA,NA,NA,NA,NA,NA,NA,VU,2,LC,2,0,2,genuine,No
AVES,PASSERIFORMES,FRINGILLIDAE,Pyrrhula,Pyrrhula murina,CR,CR,EN,EN,EN,EN,VU,NA,NA,NA,CR,7,VU,4,2,2,genuine,check all changes
MAMMALIA,RODENTIA,CRICETIDAE,Reithrodontomys,Reithrodontomys microdon,VU,LC,LC,NA,NA,NA,NA,NA,NA,NA,VU,3,LC,2,0,2,genuine,check all changes
AMPHIBIA,ANURA,RHACOPHORIDAE,Rhacophorus,Rhacophorus bimaculatus,VU,LC,NA,NA,NA,NA,NA,NA,NA,NA,VU,2,LC,2,0,2,non-genuine,No
AMPHIBIA,ANURA,RHACOPHORIDAE,Rhacophorus,Rhacophorus kio,VU,LC,LC,NA,NA,NA,NA,NA,NA,NA,VU,3,LC,2,0,2,non-genuine,check all changes
AMPHIBIA,ANURA,BUFONIDAE,Rhinella,Rhinella manu,VU,LC,NA,NA,NA,NA,NA,NA,NA,NA,VU,2,LC,2,0,2,non-genuine,No
AMPHIBIA,ANURA,MICROHYLIDAE,Rhombophryne,Rhombophryne coronata,VU,LC,NA,NA,NA,NA,NA,NA,NA,NA,VU,2,LC,2,0,2,non-genuine,No
MAMMALIA,MACROSCELIDEA,MACROSCELIDIDAE,Rhynchocyon,Rhynchocyon petersi,VU,LC,NA,NA,NA,NA,NA,NA,NA,NA,VU,2,LC,2,0,2,non-genuine,No
AVES,PASSERIFORMES,MUSCICAPIDAE,Saxicola,Saxicola dacotiae,EN,EN,NT,NT,NT,NT,NA,NA,NA,NA,EN,6,NT,3,1,2,non-genuine,check all changes
AMPHIBIA,ANURA,MICROHYLIDAE,Scaphiophryne,Scaphiophryne menabensis,VU,LC,NA,NA,NA,NA,NA,NA,NA,NA,VU,2,LC,2,0,2,non-genuine,No
AVES,ANSERIFORMES,ANATIDAE,Sibirionetta,Sibirionetta formosa,VU,LC,LC,LC,NA,NA,NA,NA,NA,NA,VU,4,LC,2,0,2,non-genuine,check all changes
MAMMALIA,DASYUROMORPHIA,DASYURIDAE,Sminthopsis,Sminthopsis leucopus,VU,LC,NA,NA,NA,NA,NA,NA,NA,NA,VU,2,LC,2,0,2,non-genuine,No
MAMMALIA,RODENTIA,SPALACIDAE,Spalax,Spalax giganteus,VU,LC,NA,NA,NA,NA,NA,NA,NA,NA,VU,2,LC,2,0,2,non-genuine,No
REPTILIA,SQUAMATA,TROPIDURIDAE,Stenocercus,Stenocercus crassicaudatus,VU,LC,NA,NA,NA,NA,NA,NA,NA,NA,VU,2,LC,2,0,2,non-genuine,No
MAMMALIA,EULIPOTYPHLA,SORICIDAE,Surdisorex,Surdisorex norae,VU,LC,NA,NA,NA,NA,NA,NA,NA,NA,VU,2,LC,2,0,2,non-genuine,No
MAMMALIA,CHIROPTERA,PTEROPODIDAE,Syconycteris,Syconycteris hobbit,VU,LC,NA,NA,NA,NA,NA,NA,NA,NA,VU,2,LC,2,0,2,non-genuine,No
AMPHIBIA,ANURA,CALYPTOCEPHALELLIDAE,Telmatobufo,Telmatobufo australis,VU,LC,NA,NA,NA,NA,NA,NA,NA,NA,VU,2,LC,2,0,2,non-genuine,No
REPTILIA,SQUAMATA,GERRHOSAURIDAE,Tetradactylus,Tetradactylus breyeri,VU,LC,NA,NA,NA,NA,NA,NA,NA,NA,VU,2,LC,2,0,2,non-genuine,No
AVES,PROCELLARIIFORMES,DIOMEDEIDAE,Thalassarche,Thalassarche eremita,CR,CR,VU,VU,VU,VU,NA,NA,NA,NA,CR,6,VU,4,2,2,non-genuine,check all changes
