Table 7: Species changing IUCN Red List Status,,,,
"Species may move between categories for a variety of reasons, including genuine improvement or deterioration in status, new information being available about the species that was not known at the time of the previous assessment, taxonomic changes, or mistakes being made in previous assessments (e.g., incorrect information used previously, missapplication of the IUCN Red List Criteria, etc.). To help Red List users interpret the changes between the current and the previous Red List, a summary of species that have changed category for genuine reasons only in 2008 is provided in the table below.",,,,
"IUCN Red List Categories:  EX - Extinct, EW - Extinct in the Wild, CR - Critically Endangered, EN - Endangered, VU - Vulnerable, LR/cd - Lower Risk/conservation dependent, NT - Near Threatened (includes LR/nt - Lower Risk/near threatened), DD - Data Deficient, LC - Least Concern (includes LR/lc - Lower Risk, least concern).",,,,
,,,,
Scientific name,Common name,IUCN Red List (2007) Category,IUCN Red List (2008) Category,
Aonyx cinerea,Asian Small-Clawed Otter,NT,VU,
Mustela altaica,Altai Weasel,LR/lc,NT,
Vormela peregusna,Marbled Polecat,LR/lc,VU,
Arctocephalus galapagoensis,Galápagos Fur Seal,VU,EN,
Neophoca cinerea,Australian Sea Lion,LR/lc,EN,
Zalophus wollebaeki,Galápagos Sea Lion,VU,EN,
Monachus schauinslandi,Hawaiian Monk Seal,EN,CR,
Hemigalus derbyanus,Banded Civet,LR/lc,VU,
Paradoxurus zeylonensis,Golden Palm Civet,LR/lc,VU,
Cephalophus jentinki,Jentink's Duiker,VU,EN,
Kobus megaceros,Nile Lechwe,LR/nt,EN,
Axis kuhlii,Bawean Deer,EN,CR,
Hydropotes inermis,Chinese Water Deer,LR/nt,VU,
Rucervus eldii,Eld's Deer,VU,EN,
Rusa timorensis,Javan Rusa,LR/lc,VU,
Rusa unicolor,Sambar,LR/lc,VU,
Sus barbatus,Bearded Pig,LR/lc,VU,
Sus celebensis,Sulawesi Warty Pig,LR/lc,NT,
Tayassu pecari,White-Lipped Peccary,LR/lc,NT,
Amorphochilus schnablii,Smoky Bat,VU,EN,
Coelops robinsoni,Malayan Tailless Leaf-nosed Bat,LR/nt,VU,
Tadarida johorensis,Northern Free-tailed Bat,LR/nt,VU,
Tadarida mops,Malayan Free-tailed Bat,LR/lc,NT,
Nycteris tragata,Malayan Slit-faced Bat,LR/lc,NT,
Lonchorhina fernandezi,Fernandez's Sword-Nosed Bat,VU,EN,
Lonchorhina orinocensis,Orinoco Sword-Nosed Bat,LR/nt,VU,
Platyrrhinus chocoensis,Choco Broad-Nosed Bat,VU,EN,
Acerodon mackloti,Sunda Fruit Bat,LR/lc,VU,
Eidolon helvum,Straw-Coloured Fruit Bat,LC,NT,
Megaerops wetmorei,White-collared Fruit Bat,LR/lc,VU,
Pteropus caniceps,North Moluccan Flying Fox,LR/lc,NT,
Pteropus lylei,Lyle's Flying Fox,LR/lc,VU,
Pteropus melanopogon,Black-bearded Flying Fox,LR/lc,EN,
Pteropus niger,Mauritan Flying Fox,VU,EN,
Pteropus temminckii,Temminck's Flying Fox,LR/nt,VU,
Pteropus vampyrus,Large Flying-fox,LR/lc,NT,
Pteropus woodfordi,Dwarf Flying Fox,LR/lc,VU,
Rousettus bidens,Manado Rousette,LR/nt,VU,
Styloctenium wallacei,Stripe-faced Fruit Bat,LR/nt,VU,
Rhinolophus cognatus,Andaman Horseshoe Bat,VU,EN,
Rhinolophus sedulus,Lesser Wooly Horseshoe Bat,LR/lc,NT,
Corynorhinus mexicanus,Mexican Big-eared Bat,LR/lc,NT,
Hesperoptenus tomesi,Large False Serotine,LR/lc,VU,
Kerivoula pellucida,Clear-winged Woolly Bat,LR/lc,NT,
Murina aenea,Bronze Tube-nosed Bat,LR/nt,VU,
Murina rozendaali,Gilded Tube-nosed Bat,LR/nt,VU,
Phoniscus atrox,Groove-toothed Trumpet-eared Bat,LR/lc,NT,
Rhogeessa minutilla,Tiny Yellow Bat,LR/nt,VU,
Dasyurus hallucatus,Northern Quoll,LR/nt,EN,
Pseudantechinus bilarni,Sandstone Pseudantechinus,LR/lc,NT,
Sarcophilus harrisii,Tasmanian Devil,LR/lc,EN,
Myrmecobius fasciatus,Numbat,VU,EN,
Burramys parvus,Mountain Pygmy Possum,EN,CR,
Dendrolagus mbaiso,Dingiso,VU,CR,
Dendrolagus scottae,Tenkile,EN,CR,
Dorcopsis luctuosa,Grey Dorcopsis,LR/lc,VU,
Dorcopsulus vanheurni,Small Dorcopsis,LR/lc,NT,
Petaurus abidi,Northern Glider,VU,CR,
Phalanger lullulae,Woodlark Cuscus,LR/lc,EN,
Phalanger matanim,Telefomin Cuscus,EN,CR,
Spilocuscus kraemeri,Admiralty Cuscus,LR/lc,NT,
Spilocuscus rufoniger,Black-spotted Cuscus,EN,CR,
Bettongia penicillata,Woylie,LR/cd,CR,
Pseudochirops coronatus,Reclusive Ringtail,LR/lc,VU,
Ochotona iliensis,Ili Pika,VU,EN,
Equus hemionus,Asiatic Wild Ass,VU,EN,
Manis javanica,Sunda Pangolin,LR/nt,EN,
Manis pentadactyla,Chinese Pangolin,LR/nt,EN,
Saguinus niger,Black-handed Tamarin,LC,VU,
Macaca hecki,Heck's Macaque,LR/nt,VU,
Macaca nigra,Celebes Crested Macaque,EN,CR,
Macaca tonkeana,Tonkean Macaque,LR/nt,VU,
Presbytis melalophos,Sumatran Surili,LR/nt,EN,
Presbytis thomasi,Thomas’s Langur,LR/nt,VU,
Pygathrix cinerea,Grey-shanked Douc Langur,EN,CR,
Trachypithecus obscurus,Dusky Leaf-monkey,LR/lc,NT,
Hylobates agilis,Agile Gibbon,LR/nt,EN,
Hylobates albibarbis,Bornean White-bearded Gibbon,LR/nt,EN,
Hylobates klossii,Kloss’s Gibbon,VU,EN,
Hylobates lar,Lar Gibbon,LR/nt,EN,
Hylobates muelleri,Müller's Bornean Gibbon,LR/nt,EN,
Nomascus concolor,Black Crested Gibbon,EN,CR,
Symphalangus syndactylus,Siamang,LR/nt,EN,
Nycticebus coucang,Greater Slow Loris,LR/lc,VU,
Tarsius bancanus,Horsfield’s Tarsier,LR/lc,VU,
Abrothrix illuteus,Gray Grass Mouse,LR/lc,NT,
Abrothrix sanborni,Sanborn's Grass Mouse,LR/lc,NT,
Akodon latebricola,Ecuadorean Grass Mouse,LR/lc,VU,
Akodon surdus,Silent Grass Mouse,LR/lc,VU,
Arborimus longicaudus,Red Tree Vole,LR/lc,NT,
Arvicola sapidus,Southern Water Vole,LR/nt,VU,
Calomys hummelincki,Hummelinck's Vesper Mouse,LR/lc,VU,
Mesocricetus brandti,Brandt's Hamster,LR/lc,NT,
Microtus oaxacensis,Tarabundi Vole,LR/nt,EN,
Microtus quasiater,Japalapan Pine Vole,LR/lc,NT,
Microtus umbrosus,Zepoal Tepec Vole,LR/lc,EN,
Neotoma palatina,Bolano's Woodrat,LR/nt,VU,
Reithrodontomys microdon,Small-toothed Harvest Mouse,LR/nt,VU,
Reithrodontomys spectabilis,Cozumel Harvest Mouse,EN,CR,
Sigmodon alleni,Allen's Cotton Rat,LR/lc,VU,
Thomasomys hylophilus,Woodland Oldfield Mouse,LR/lc,EN,
Wilfredomys oenax,Greater Wilfred's Mouse,LR/lc,EN,
Xenomys nelsoni,Magedelena Wood Rat,LR/nt,EN,
Ctenomys australis,Southern Tuco-tuco,LR/lc,EN,
Allactaga vinogradovi,Vinogradov's Jerboa,LR/lc,NT,
Pappogeomys alcorni,Alcorn's Pocket Gopher,VU,CR,
Chaetodipus goldmani,Goldman's Pocket Mouse,LR/lc,VU,
Dipodomys nitratoides,Fresno Kangaroo Rat,LR/nt,VU,
Gerbillus gleadowi,Little Hairy-footed Gerbil,LR/lc,NT,
Maxomys rajah,Rajah Sundaic Maxomys,LR/lc,VU,
Maxomys whiteheadi,Whitehead’s Sundaic Maxomys,LR/lc,VU,
Nesokia bunnii,Bunn's Short-Tailed Bandicoot Rat,LR/nt,EN,
Niviventer cremoriventer,Sundaic Arboreal Niviventer,LR/lc,VU,
Pseudomys fumeus,Smoky Mouse,VU,EN,
Pseudomys novaehollandiae,New Holland Mouse,LR/lc,VU,
Rattus richardsoni,Glacier Rat,LR/lc,VU,
Solomys ponceleti,Poncelet's Giant Rat,EN,CR,
Solomys salebrosus,Bougainville Giant Rat,LR/nt,EN,
Solomys sapientis,Isabel Giant Rat,VU,EN,
Uromys neobritannicus,Bismarck Giant Rat,LR/lc,EN,
Zyzomys maini,Arnhem Land Rock Rat,LR/lc,NT,
Octodon bridgesi,Bridges's Degu,LR/lc,VU,
Octodon pacificus,,VU,CR,
Callosciurus adamsi,Ear-spot Squirrel,LR/lc,VU,
Callosciurus melanogaster,Mentawai Squirrel,LR/lc,VU,
Marmota sibirica,Mongolian marmot,LR/lc,EN,
Marmota vancouverensis,Vancouver Island Marmot,EN,CR,
Petaurista nobilis,Bhutan Giant Flying Squirrel,LR/nt,VU,
Petinomys genibarbis,Whiskered Flying Squirrel,LR/lc,VU,
Petinomys lugens,Siberut Flying Squirrel,LR/nt,EN,
Petinomys setosus,Temminck's Flying Squirrel,LR/lc,VU,
Petinomys vordermanni,Vordermann's Flying Squirrel,LR/lc,VU,
Pteromyscus pulverulentus,Smoky Flying Squirrel,LR/nt,EN,
Ratufa bicolor,Black Giant Squirrel,LR/lc,NT,
Rhinosciurus laticaudatus,Shrew-faced Squirrel,LR/lc,NT,
Rubrisciurus rubriventer,Sulawesi Giant Squirrel,LR/lc,VU,
Spermophilus perotensis,Perote Ground Squirrel,LR/nt,EN,
Spermophilus xanthoprymnus,Asia Minor Ground Squirrel,LR/lc,NT,
Spalax arenarius,Sandy Mole Rate,VU,EN,
Spalax zemni,Podolian Mole Rat,LR/lc,VU,
,,,,
BIRDS,,,,
Genuine improvements,,,,
Ducula galeata,Marquesan Imperial-pigeon,CR,EN,
Apteryx owenii,Little Spotted Kiwi,VU,NT,
,,,,
Genuine deteriorations,,,,
Aythya baeri,Baer's Pochard,VU,EN,
Sterna nereis,Fairy Tern,LC,VU,
Eurynorhynchus pygmeus,Spoon-billed Sandpiper,EN,CR,
Numenius arquata,Eurasian Curlew,LC,NT,
Ducula finschii,Finsch's Imperial-pigeon,LC,NT,
Ducula rubricera,Red-knobbed Imperial-pigeon,LC,NT,
Reinwardtoena browni,Pied Cuckoo-dove,LC,NT,
Centropus violaceus,Violaceous Coucal,LC,NT,
Accipiter princeps,New Britain Goshawk,NT,VU,
Pauxi pauxi,Helmeted Curassow,VU,EN,
Tetrao mlokosiewiczi,Caucasian Grouse,DD,NT,
Atrichornis rufescens,Rufous Scrub-bird,NT,VU,
Coracina newtoni,Réunion Cuckooshrike,EN,CR,
Corvus kubaryi,Mariana Crow,EN,CR,
Loxops caeruleirostris,Akekee,EN,CR,
Stipiturus mallee,Mallee Emuwren,VU,EN,
Melidectes whitemanensis,Bismarck Melidectes,LC,NT,
Mimus trifasciatus,Floreana Mockingbird,EN,CR,
Megalurulus grosvenori,Bismarck Thicketbird,DD,VU,
Sylvia undata,Dartford Warbler,LC,NT,
Diomedea dabbenena,Tristan Albatross,EN,CR,
Cacatua ophthalmica,Blue-eyed Cockatoo,LC,VU,
Ninox odiosa,Russet Hawk-owl,LC,VU,
Tyto aurantia,Bismarck Masked-owl,DD,VU,
,,,,
REPTILES,,,,
Genuine deteriorations,,,,
Crocodylus rhombifer,Cuban Crocodile,EN,CR,
Erymnochelys madagascariensis,Madagascar Big-headed Turtle,EN,CR,
Astrochelys radiata,Radiated Tortoise,VU,CR,
Astrochelys yniphora,Ploughshare Tortoise,EN,CR,
Pyxis arachnoides,Spider Tortoise,VU,CR,
Pyxis planicauda,Flat-tailed Tortoise,EN,CR,
,,,,
AMPHIBIANS,,,,
Genuine improvement,,,,
Thorius macdougalli,,EN,VU,
Genuine Deteriorations,,,,
Incilius holdridgei,,CR,EX,
Centrolene buckleyi,,NT,VU,
Craugastor escoces,,CR,EX,
Parvimolge townsendi,,EN,CR,
Pseudoeurycea gigantea,,EN,CR,
Pseudoeurycea juarezi,,EN,CR,
Thorius munificus,,EN,CR,
,,,,
INVERTEBRATES,,,,
Genuine deterioration,,,,
Hemiphlebia mirabilis,Ancient Greenling,VU,EN,
,,,,
,,,,
