scientific_name,realm_type,realm,area_m2,prop_type
Arctocephalus philippii,Marine,"Mid-Atlantic, Pacific and Indian Oceans including coastal tropics and warm temperate areas",1.37936E+12,0.364404067
Arctocephalus philippii,Terrestrial,Neotropic,1250656924,1
Arctocephalus philippii,Marine,South-east Pacific,2.40558E+12,0.635513478
Arctocephalus philippii,Marine,Southern Ocean,312113374.8,8.25E-05
Arctocephalus pusillus,Terrestrial,Afrotropic,1763511652,0.480737867
Arctocephalus pusillus,Terrestrial,Australasia,1904831897,0.519262133
Arctocephalus pusillus,Marine,"Mid-Atlantic, Pacific and Indian Oceans including coastal tropics and warm temperate areas",1.09684E+12,1
Arctocephalus townsendi,Marine,"Mid-Atlantic, Pacific and Indian Oceans including coastal tropics and warm temperate areas",1.0381E+12,0.801821893
Arctocephalus townsendi,Marine,Mid-tropical North Pacific Ocean,54253136851,0.041904663
Arctocephalus townsendi,Marine,"NE and NW Atlantic and Mediterranean, Arctic and North Pacific",2.02324E+11,0.156273444
Arctocephalus townsendi,Terrestrial,Nearctic,2471637705,0.786456352
Arctocephalus townsendi,Terrestrial,Neotropic,671114843.1,0.213543648
Arctocephalus tropicalis,Terrestrial,Afrotropic,123855891.1,0.17901086
Arctocephalus tropicalis,Terrestrial,Antarctic,560486493.6,0.810079911
Arctocephalus tropicalis,Terrestrial,Australasia,7547990.625,0.010909229
Arctocephalus tropicalis,Marine,"Mid-Atlantic, Pacific and Indian Oceans including coastal tropics and warm temperate areas",5.27402E+12,0.393543801
Arctocephalus tropicalis,Marine,Southern Ocean,8.12734E+12,0.606456199
Aspidites ramsayi,Terrestrial,Australasia,3.45697E+12,1
Balaena mysticetus,Marine,"Mid-Atlantic, Pacific and Indian Oceans including coastal tropics and warm temperate areas",84591164610,0.016485069
Balaena mysticetus,Marine,"NE and NW Atlantic and Mediterranean, Arctic and North Pacific",5.04679E+12,0.983514931
Balaenoptera acutorostrata,Marine,"Mid-Atlantic, Pacific and Indian Oceans including coastal tropics and warm temperate areas",2.11197E+14,0.617126984
Balaenoptera acutorostrata,Marine,Mid-tropical North Pacific Ocean,3.26572E+13,0.095425963
Balaenoptera acutorostrata,Marine,"NE and NW Atlantic and Mediterranean, Arctic and North Pacific",1.77062E+13,0.051738353
Balaenoptera acutorostrata,Marine,North West Pacific,2.03858E+12,0.005956813
Balaenoptera acutorostrata,Marine,South-east Pacific,2.18805E+13,0.063935843
Balaenoptera acutorostrata,Marine,Southern Ocean,5.67466E+13,0.165816044
Balaenoptera borealis,Marine,"Mid-Atlantic, Pacific and Indian Oceans including coastal tropics and warm temperate areas",1.99363E+14,0.633740904
Balaenoptera borealis,Marine,Mid-tropical North Pacific Ocean,3.26573E+13,0.103812154
Balaenoptera borealis,Marine,"NE and NW Atlantic and Mediterranean, Arctic and North Pacific",1.17891E+13,0.037475727
Balaenoptera borealis,Marine,North West Pacific,2.03865E+12,0.00648053
Balaenoptera borealis,Marine,South-east Pacific,2.18805E+13,0.06955457
Balaenoptera borealis,Marine,Southern Ocean,4.68524E+13,0.148936115
Balaenoptera edeni,Marine,"Mid-Atlantic, Pacific and Indian Oceans including coastal tropics and warm temperate areas",1.69011E+14,0.754549754
Balaenoptera edeni,Marine,Mid-tropical North Pacific Ocean,3.19162E+13,0.142489839
Balaenoptera edeni,Marine,"NE and NW Atlantic and Mediterranean, Arctic and North Pacific",1.16744E+12,0.005212058
Balaenoptera edeni,Marine,North West Pacific,1.62264E+12,0.007244288
Balaenoptera edeni,Marine,South-east Pacific,2.02719E+13,0.090504062
Balaenoptera musculus,Marine,"Mid-Atlantic, Pacific and Indian Oceans including coastal tropics and warm temperate areas",2.12531E+14,0.629566509
Balaenoptera musculus,Marine,Mid-tropical North Pacific Ocean,3.25645E+13,0.096463644
Balaenoptera musculus,Marine,"NE and NW Atlantic and Mediterranean, Arctic and North Pacific",1.18339E+13,0.035054888
Balaenoptera musculus,Marine,North West Pacific,2.03858E+12,0.006038746
Balaenoptera musculus,Marine,South-east Pacific,2.18804E+13,0.064814828
Balaenoptera musculus,Marine,Southern Ocean,5.67347E+13,0.168061384
Balaenoptera physalus,Marine,"Mid-Atlantic, Pacific and Indian Oceans including coastal tropics and warm temperate areas",8.91789E+13,0.442982434
Balaenoptera physalus,Marine,Mid-tropical North Pacific Ocean,2.14659E+13,0.106628477
Balaenoptera physalus,Marine,"NE and NW Atlantic and Mediterranean, Arctic and North Pacific",1.73048E+13,0.085958838
Balaenoptera physalus,Marine,North West Pacific,1.38202E+12,0.006864971
Balaenoptera physalus,Marine,South-east Pacific,1.52366E+13,0.075685467
Balaenoptera physalus,Marine,Southern Ocean,5.67466E+13,0.281879813
Berardius arnuxii,Marine,"Mid-Atlantic, Pacific and Indian Oceans including coastal tropics and warm temperate areas",3.7837E+13,0.371219134
Berardius arnuxii,Marine,South-east Pacific,7.34563E+12,0.072068074
Berardius arnuxii,Marine,Southern Ocean,5.67437E+13,0.556712792
Callorhinus ursinus,Marine,"Mid-Atlantic, Pacific and Indian Oceans including coastal tropics and warm temperate areas",1.91964E+12,0.113921972
Callorhinus ursinus,Marine,Mid-tropical North Pacific Ocean,4.02567E+12,0.2389047
Callorhinus ursinus,Marine,"NE and NW Atlantic and Mediterranean, Arctic and North Pacific",1.09052E+13,0.647173327
Callorhinus ursinus,Terrestrial,Nearctic,59870065724,0.750309832
Callorhinus ursinus,Terrestrial,Palearctic,19923725060,0.249690168
Canis lupus,Terrestrial,Afrotropic,5.15112E+11,0.010976797
Canis lupus,Terrestrial,Indo-Malay,7.99499E+11,0.017036935
Canis lupus,Terrestrial,Nearctic,1.13161E+13,0.241139931
Canis lupus,Terrestrial,Palearctic,3.42967E+13,0.730846338
Canis rufus,Terrestrial,Nearctic,3124665976,1
Canis simensis,Terrestrial,Afrotropic,6000485885,1
Caperea marginata,Marine,"Mid-Atlantic, Pacific and Indian Oceans including coastal tropics and warm temperate areas",3.47093E+13,0.479223481
Caperea marginata,Marine,South-east Pacific,8.50935E+12,0.117486583
Caperea marginata,Marine,Southern Ocean,2.92096E+13,0.403289936
Caracal caracal,Terrestrial,Afrotropic,1.33515E+13,0.777728109
Caracal caracal,Terrestrial,Indo-Malay,5.15524E+11,0.0300295
Caracal caracal,Terrestrial,Palearctic,3.30027E+12,0.19224239
Carcharhinus limbatus,Marine,Black Sea,3449945719,0.000166964
Carcharhinus limbatus,Marine,"Mid-Atlantic, Pacific and Indian Oceans including coastal tropics and warm temperate areas",1.79035E+13,0.866460815
Carcharhinus limbatus,Marine,Mid-tropical North Pacific Ocean,1.98416E+11,0.009602564
Carcharhinus limbatus,Marine,"NE and NW Atlantic and Mediterranean, Arctic and North Pacific",1.92052E+12,0.092945569
Carcharhinus limbatus,Marine,North West Pacific,5.2635E+11,0.025473297
Carcharhinus limbatus,Marine,South-east Pacific,1.10562E+11,0.005350791
Carcharhinus obscurus,Marine,"Mid-Atlantic, Pacific and Indian Oceans including coastal tropics and warm temperate areas",1.2674E+13,0.925034173
Carcharhinus obscurus,Marine,"NE and NW Atlantic and Mediterranean, Arctic and North Pacific",5.42146E+11,0.039569445
Carcharhinus obscurus,Marine,North West Pacific,4.42419E+11,0.032290686
Carcharhinus obscurus,Marine,South-east Pacific,42551555068,0.003105697
Carcharhinus plumbeus,Marine,Black Sea,752536.875,3.53E-08
Carcharhinus plumbeus,Marine,"Mid-Atlantic, Pacific and Indian Oceans including coastal tropics and warm temperate areas",1.76492E+13,0.828309548
Carcharhinus plumbeus,Marine,Mid-tropical North Pacific Ocean,2.07942E+11,0.009759102
Carcharhinus plumbeus,Marine,"NE and NW Atlantic and Mediterranean, Arctic and North Pacific",2.00918E+12,0.094294496
Carcharhinus plumbeus,Marine,North West Pacific,1.44117E+12,0.067636819
Carcharias taurus,Marine,"Mid-Atlantic, Pacific and Indian Oceans including coastal tropics and warm temperate areas",8.34487E+12,0.767818795
Carcharias taurus,Marine,"NE and NW Atlantic and Mediterranean, Arctic and North Pacific",1.18003E+12,0.108575303
Carcharias taurus,Marine,North West Pacific,1.34338E+12,0.123605902
Carcharodon carcharias,Marine,"Mid-Atlantic, Pacific and Indian Oceans including coastal tropics and warm temperate areas",2.04376E+14,0.736608466
Carcharodon carcharias,Marine,Mid-tropical North Pacific Ocean,3.26572E+13,0.117702494
Carcharodon carcharias,Marine,"NE and NW Atlantic and Mediterranean, Arctic and North Pacific",1.26545E+13,0.045609192
Carcharodon carcharias,Marine,North West Pacific,2.03858E+12,0.007347402
Carcharodon carcharias,Marine,South-east Pacific,2.18733E+13,0.078835416
Carcharodon carcharias,Marine,Southern Ocean,3.85581E+12,0.013897031
Catopuma temminckii,Terrestrial,Indo-Malay,2.47224E+11,0.814503951
Catopuma temminckii,Terrestrial,Palearctic,56303015629,0.185496049
Cephalorhynchus eutropia,Marine,"Mid-Atlantic, Pacific and Indian Oceans including coastal tropics and warm temperate areas",2.81095E+11,1
Cephalorhynchus eutropia,Terrestrial,Neotropic,2497301731,1
Cephalorhynchus eutropia,Freshwater,temperate coastal rivers,5550403747,1
Cetorhinus maximus,Marine,Black Sea,3009741.5,2.24E-08
Cetorhinus maximus,Marine,"Mid-Atlantic, Pacific and Indian Oceans including coastal tropics and warm temperate areas",7.00421E+13,0.522335369
Cetorhinus maximus,Marine,Mid-tropical North Pacific Ocean,2.56626E+13,0.191377945
Cetorhinus maximus,Marine,"NE and NW Atlantic and Mediterranean, Arctic and North Pacific",1.2306E+13,0.091771108
Cetorhinus maximus,Marine,North West Pacific,1.08074E+12,0.008059589
Cetorhinus maximus,Marine,South-east Pacific,2.06165E+13,0.153746688
Cetorhinus maximus,Marine,Southern Ocean,4.38612E+12,0.032709278
Chrysocyon brachyurus,Terrestrial,Neotropic,4.33529E+12,1
Crocodylus acutus,Freshwater,large lakes,55270379666,0.029464137
Crocodylus acutus,Freshwater,large river deltas,75441200339,0.040217019
Crocodylus acutus,Marine,"Mid-Atlantic, Pacific and Indian Oceans including coastal tropics and warm temperate areas",26871407400,1
Crocodylus acutus,Freshwater,montane freshwaters,83371817157,0.044444758
Crocodylus acutus,Terrestrial,Nearctic,20431572739,0.010877911
Crocodylus acutus,Terrestrial,Neotropic,1.85783E+12,0.989122089
Crocodylus acutus,Freshwater,No Data,253889179.7,0.000135346
Crocodylus acutus,Freshwater,tropical and subtropical coastal rivers,1.40667E+12,0.749884652
Crocodylus acutus,Freshwater,tropical and subtropical floodplain rivers and wetland complexes,50335703230,0.026833506
Crocodylus acutus,Freshwater,tropical and subtropical upland rivers,2.02571E+11,0.107988566
Crocodylus acutus,Freshwater,xeric freshwaters and endorheic (closed) basins,1935909310,0.001032016
Mecistops cataphractus,Terrestrial,Afrotropic,2.24606E+12,1
Mecistops cataphractus,Freshwater,large river deltas,990330.4375,4.42E-07
Mecistops cataphractus,Freshwater,montane freshwaters,10174884151,0.004538944
Mecistops cataphractus,Freshwater,tropical and subtropical coastal rivers,8.39679E+11,0.374574815
Mecistops cataphractus,Freshwater,tropical and subtropical floodplain rivers and wetland complexes,1.25242E+12,0.558693973
Mecistops cataphractus,Freshwater,tropical and subtropical upland rivers,1.3636E+11,0.060829237
Mecistops cataphractus,Freshwater,xeric freshwaters and endorheic (closed) basins,3054495083,0.001362589
Crocodylus intermedius,Freshwater,montane freshwaters,9847614399,0.115808027
Crocodylus intermedius,Terrestrial,Neotropic,85033953893,1
Crocodylus intermedius,Freshwater,tropical and subtropical floodplain rivers and wetland complexes,73126658119,0.859970103
Crocodylus intermedius,Freshwater,tropical and subtropical upland rivers,2059681376,0.02422187
Crocodylus moreletii,Terrestrial,Nearctic,63526852976,0.124692951
Crocodylus moreletii,Terrestrial,Neotropic,4.45939E+11,0.875307049
Crocodylus moreletii,Freshwater,temperate floodplain rivers and wetlands,21073221935,0.041448589
Crocodylus moreletii,Freshwater,tropical and subtropical coastal rivers,4.2686E+11,0.839583982
Crocodylus moreletii,Freshwater,tropical and subtropical upland rivers,39928045236,0.078533845
Crocodylus moreletii,Freshwater,xeric freshwaters and endorheic (closed) basins,20557174586,0.040433584
Crocodylus palustris,Terrestrial,Indo-Malay,2.52792E+12,0.975499751
Crocodylus palustris,Terrestrial,Palearctic,63490108973,0.024500249
Crocodylus palustris,Freshwater,tropical and subtropical coastal rivers,2.82121E+11,0.10906147
Crocodylus palustris,Freshwater,tropical and subtropical floodplain rivers and wetland complexes,2.23283E+12,0.863158502
Crocodylus palustris,Freshwater,tropical and subtropical upland rivers,22980103809,0.008883576
Crocodylus palustris,Freshwater,xeric freshwaters and endorheic (closed) basins,48881490899,0.018896453
Crocodylus porosus,Terrestrial,Australasia,2.39239E+12,0.399376705
Crocodylus porosus,Terrestrial,Indo-Malay,3.59792E+12,0.600623295
Crocodylus porosus,Marine,"Mid-Atlantic, Pacific and Indian Oceans including coastal tropics and warm temperate areas",52606805650,0.998318958
Crocodylus porosus,Freshwater,montane freshwaters,1.51533E+11,0.025350589
Crocodylus porosus,Freshwater,No Data,984960154.1,0.000164778
Crocodylus porosus,Marine,North West Pacific,88583187.19,0.001681042
Crocodylus porosus,Freshwater,oceanic islands,1.65973E+11,0.027766315
Crocodylus porosus,Freshwater,tropical and subtropical coastal rivers,3.22889E+12,0.540173333
Crocodylus porosus,Freshwater,tropical and subtropical floodplain rivers and wetland complexes,2.14118E+12,0.358206033
Crocodylus porosus,Freshwater,tropical and subtropical upland rivers,2.81974E+11,0.047172424
Crocodylus porosus,Freshwater,xeric freshwaters and endorheic (closed) basins,6972937069,0.001166529
Crocodylus rhombifer,Terrestrial,Neotropic,1.08915E+11,1
Crocodylus rhombifer,Freshwater,tropical and subtropical coastal rivers,1.08134E+11,1
Crocodylus siamensis,Terrestrial,Indo-Malay,1.57462E+12,1
Crocodylus siamensis,Freshwater,oceanic islands,4102785671,0.002611057
Crocodylus siamensis,Freshwater,tropical and subtropical coastal rivers,3.62555E+11,0.230733768
Crocodylus siamensis,Freshwater,tropical and subtropical floodplain rivers and wetland complexes,1.05282E+12,0.670027243
Crocodylus siamensis,Freshwater,tropical and subtropical upland rivers,1.51833E+11,0.096627932
Crocodylus mindorensis,Terrestrial,Indo-Malay,3983999435,1
Crocodylus mindorensis,Freshwater,tropical and subtropical coastal rivers,3984786229,1
Crocuta crocuta,Terrestrial,Afrotropic,1.44571E+13,0.999944411
Crocuta crocuta,Terrestrial,Palearctic,803698409.1,5.56E-05
Cryptoprocta ferox,Terrestrial,Afrotropic,4.41694E+11,1
Cuon alpinus,Terrestrial,Indo-Malay,2.6041E+12,0.774753645
Cuon alpinus,Terrestrial,Palearctic,7.57097E+11,0.225246355
Cystophora cristata,Marine,"Mid-Atlantic, Pacific and Indian Oceans including coastal tropics and warm temperate areas",3.55301E+12,0.63591671
Cystophora cristata,Marine,"NE and NW Atlantic and Mediterranean, Arctic and North Pacific",2.03422E+12,0.36408329
Cystophora cristata,Terrestrial,Nearctic,37638573816,0.720822283
Cystophora cristata,Terrestrial,Palearctic,14577589151,0.279177717
Delphinapterus leucas,Marine,"Mid-Atlantic, Pacific and Indian Oceans including coastal tropics and warm temperate areas",1.72306E+11,0.039295038
Delphinapterus leucas,Marine,"NE and NW Atlantic and Mediterranean, Arctic and North Pacific",4.21263E+12,0.960704962
Delphinus delphis,Marine,Black Sea,4.55938E+11,0.005459941
Delphinus delphis,Marine,"Mid-Atlantic, Pacific and Indian Oceans including coastal tropics and warm temperate areas",5.30929E+13,0.635797589
Delphinus delphis,Marine,Mid-tropical North Pacific Ocean,1.92924E+13,0.231030484
Delphinus delphis,Marine,"NE and NW Atlantic and Mediterranean, Arctic and North Pacific",8.90639E+12,0.106655703
Delphinus delphis,Marine,North West Pacific,7.22861E+11,0.008656389
Delphinus delphis,Marine,South-east Pacific,9.7197E+11,0.011639518
Delphinus delphis,Marine,Southern Ocean,63496041196,0.000760377
Lycalopex culpaeus,Terrestrial,Neotropic,2.60815E+12,1
Enhydra lutris,Marine,"Mid-Atlantic, Pacific and Indian Oceans including coastal tropics and warm temperate areas",56999398464,0.02918699
Enhydra lutris,Marine,"NE and NW Atlantic and Mediterranean, Arctic and North Pacific",1.8959E+12,0.97081301
Enhydra lutris,Terrestrial,Nearctic,60226839424,0.819019782
Enhydra lutris,Terrestrial,Palearctic,13308428859,0.180980218
Epinephelus lanceolatus,Marine,"Mid-Atlantic, Pacific and Indian Oceans including coastal tropics and warm temperate areas",1.89214E+13,0.929070043
Epinephelus lanceolatus,Marine,Mid-tropical North Pacific Ocean,5.75743E+11,0.028269783
Epinephelus lanceolatus,Marine,North West Pacific,7.92163E+11,0.038896345
Epinephelus lanceolatus,Marine,South-east Pacific,76654165649,0.003763829
Epinephelus marginatus,Marine,"Mid-Atlantic, Pacific and Indian Oceans including coastal tropics and warm temperate areas",2.87918E+12,0.615047094
Epinephelus marginatus,Marine,"NE and NW Atlantic and Mediterranean, Arctic and North Pacific",1.80205E+12,0.384952906
Hyporthodus nigritus,Marine,"Mid-Atlantic, Pacific and Indian Oceans including coastal tropics and warm temperate areas",1.66512E+12,1
Erignathus barbatus,Marine,"Mid-Atlantic, Pacific and Indian Oceans including coastal tropics and warm temperate areas",1.39704E+12,0.212542949
Erignathus barbatus,Marine,"NE and NW Atlantic and Mediterranean, Arctic and North Pacific",5.17595E+12,0.787457051
Erignathus barbatus,Terrestrial,Nearctic,52344196542,0.396141197
Erignathus barbatus,Terrestrial,Palearctic,79791004085,0.603858803
Eschrichtius robustus,Marine,"Mid-Atlantic, Pacific and Indian Oceans including coastal tropics and warm temperate areas",8.12741E+11,0.215934284
Eschrichtius robustus,Marine,"NE and NW Atlantic and Mediterranean, Arctic and North Pacific",2.503E+12,0.665012583
Eschrichtius robustus,Marine,North West Pacific,4.48096E+11,0.119053133
Eubalaena australis,Marine,"Mid-Atlantic, Pacific and Indian Oceans including coastal tropics and warm temperate areas",3.67877E+13,0.426662059
Eubalaena australis,Marine,South-east Pacific,1.03685E+12,0.012025277
Eubalaena australis,Marine,Southern Ocean,4.83976E+13,0.561312664
Eumetopias jubatus,Marine,"Mid-Atlantic, Pacific and Indian Oceans including coastal tropics and warm temperate areas",2.26259E+11,0.035405897
Eumetopias jubatus,Marine,"NE and NW Atlantic and Mediterranean, Arctic and North Pacific",6.16418E+12,0.964594103
Eumetopias jubatus,Terrestrial,Nearctic,58869984482,0.702734699
Eumetopias jubatus,Terrestrial,Palearctic,24902717440,0.297265301
Feresa attenuata,Marine,"Mid-Atlantic, Pacific and Indian Oceans including coastal tropics and warm temperate areas",1.64223E+14,0.797360552
Feresa attenuata,Marine,Mid-tropical North Pacific Ocean,2.68092E+13,0.130167645
Feresa attenuata,Marine,North West Pacific,1.18667E+12,0.005761667
Feresa attenuata,Marine,South-east Pacific,1.37395E+13,0.066710136
Gavialis gangeticus,Terrestrial,Indo-Malay,1.38469E+12,0.927211108
Gavialis gangeticus,Freshwater,montane freshwaters,1368875776,0.000917296
Gavialis gangeticus,Terrestrial,Palearctic,1.08702E+11,0.072788892
Gavialis gangeticus,Freshwater,tropical and subtropical coastal rivers,85249954776,0.057126791
Gavialis gangeticus,Freshwater,tropical and subtropical floodplain rivers and wetland complexes,1.28329E+12,0.859942077
Gavialis gangeticus,Freshwater,tropical and subtropical upland rivers,1.12326E+11,0.075270709
Gavialis gangeticus,Freshwater,xeric freshwaters and endorheic (closed) basins,10062725528,0.006743126
Globicephala macrorhynchus,Marine,"Mid-Atlantic, Pacific and Indian Oceans including coastal tropics and warm temperate areas",1.77538E+14,0.787543368
Globicephala macrorhynchus,Marine,Mid-tropical North Pacific Ocean,2.66584E+13,0.118254134
Globicephala macrorhynchus,Marine,"NE and NW Atlantic and Mediterranean, Arctic and North Pacific",1.62484E+12,0.007207645
Globicephala macrorhynchus,Marine,North West Pacific,2.03857E+12,0.009042909
Globicephala macrorhynchus,Marine,South-east Pacific,1.7573E+13,0.077951945
Globicephala melas,Marine,"Mid-Atlantic, Pacific and Indian Oceans including coastal tropics and warm temperate areas",6.76237E+13,0.518141608
Globicephala melas,Marine,"NE and NW Atlantic and Mediterranean, Arctic and North Pacific",3.76109E+12,0.028817957
